task,gt,f1,f2,split
task_0,0,0.07287267281528922,0.324239790008488,test
task_1,0,0.21028137992042908,-0.047786913611428256,train
task_2,0,0.012361103985148364,0.20431272636004047,train
task_3,0,-0.03754550371272167,0.16452446217636832,test
task_4,0,0.2948686376617622,0.21393564671523094,test
task_5,0,0.1295486916458122,0.14554658607080617,train
task_6,0,0.37803729620721704,0.1547357386463372,train
task_7,0,0.25620823503664136,-0.06860324992092531,train
task_8,0,-0.12128776027743515,0.11168534166962779,test
task_9,0,0.13669754876295545,0.1529371518308658,test
task_10,0,0.03356187091015639,0.17640044493554735,train
task_11,0,0.14562841181875774,0.4112915702246095,train
task_12,0,0.21340596433151102,0.29593631397669057,train
task_13,0,0.3191271913134639,0.38054840368365195,train
task_14,0,-0.028997613721333332,0.2542002797405034,test
task_15,0,0.007777425473398825,0.3289707931629568,train
task_16,0,0.12196774627410226,0.41034900470968816,train
task_17,0,0.015219584624610538,0.2193196079667917,train
task_18,0,0.04534504937729544,0.23135858649588592,test
task_19,0,0.2569048923582762,0.1706675642461271,train
task_20,0,-0.06297176637903251,0.23350857916505052,train
task_21,0,-0.008706793154026005,0.4117009158678827,train
task_22,0,0.5432124136492178,0.05612354120843788,test
task_23,0,-0.08304172930926401,0.41858887919052745,train
task_24,0,0.01642320528027849,0.4665772972811078,train
task_25,0,0.19614676181421403,0.2880459231192294,train
task_26,0,0.07146337914846082,0.243862728622391,train
task_27,0,0.24671748123581144,0.38126659604859614,train
task_28,0,0.16753699990860574,0.27962359149471055,train
task_29,0,0.32292135384245685,0.42007244315874115,train
task_30,0,0.16613964542487797,0.21502938465280247,train
task_31,0,0.36060841399543997,-0.06320080275978579,train
task_32,0,0.19097987820262213,0.1788790672636622,train
task_33,0,0.16364420452498035,0.19837211114369477,test
task_34,0,0.13336917545083862,0.16321411666527752,train
task_35,0,0.20910056930336854,0.4258615566582725,train
task_36,0,0.28228579233462797,0.22606359315076607,test
task_37,0,0.1805179219880656,0.42396015595890335,train
task_38,0,0.31069282218188765,0.2723832929145016,train
task_39,0,0.28439568161688655,0.07208319525782561,train
task_40,0,0.23281354287526246,0.07681478222907263,train
task_41,0,0.17072338728748698,0.451632874555439,test
task_42,0,0.050924755796478455,-0.0369401985881683,test
task_43,0,0.03977690728902003,0.19128760411156825,train
task_44,0,0.31590104040436373,0.1605790992862579,train
task_45,0,0.37851322587557,-0.13212356690850346,test
task_46,0,-0.07615465793737614,0.30779550146700446,train
task_47,0,0.5022893096400946,0.053809781008613,train
task_48,0,0.14846144547662918,0.038611798059999564,test
task_49,0,0.09211454952944641,0.27114049190133616,test
task_50,0,0.16759870253695863,0.26423504262257025,train
task_51,0,-0.06813043358557846,0.19520319375424164,train
task_52,0,0.010868015299891176,0.2213121513736843,train
task_53,0,0.26840969003815623,0.32214593890792587,train
task_54,0,0.135710515579961,0.17222823061553055,test
task_55,0,0.2775765255615142,0.17028875479816433,train
task_56,0,0.1750425656079163,0.2349304075074892,train
task_57,0,0.367002810193788,0.32116975592157593,test
task_58,0,0.012711141283825472,0.2724234409472306,test
task_59,0,0.1757534482749211,0.0966476183700582,train
task_60,0,0.04853358808257513,0.31761705352865954,test
task_61,0,0.14339008845403028,0.2283625739876992,train
task_62,0,0.2789811832396009,0.3063593697745593,train
task_63,0,0.3143937951209589,-0.10455066554720749,train
task_64,0,0.18075018185722097,0.3016970648924741,train
task_65,0,0.2582148393867172,0.24012628923893253,train
task_66,0,-0.03899599451091035,0.06538309726889283,train
task_67,0,0.08536255913232814,0.07699326939230788,train
task_68,0,0.3162076950193733,0.27695738945155135,train
task_69,0,0.320277454063769,0.10091188394125072,test
task_70,0,0.007536544563664455,0.32112686914812627,test
task_71,0,0.25022332574303163,0.22864196329503422,train
task_72,0,-0.06633312666100988,0.06553220034483517,test
task_73,0,0.37884976922307895,0.21636795188778385,train
task_74,0,0.044747848137049295,0.24325427155576151,test
task_75,0,0.10556132129501829,0.4575122513208889,test
task_76,0,0.30270685352727184,0.25334811246246247,train
task_77,0,0.2707006403482038,0.12481172706317885,train
task_78,0,0.043650346769092824,0.11487838596661648,test
task_79,0,0.14569595411765232,0.28517713426170493,train
task_80,0,0.41411246316989436,0.26325935342430656,train
task_81,0,0.22155002913977237,0.13073224688601326,test
task_82,0,-0.04557364172379924,0.29510729713088074,test
task_83,0,0.5111290994142484,0.4068262716396996,train
task_84,0,0.24958382655533962,0.10931861578832845,train
task_85,0,0.07560158199290946,0.0941753207691359,train
task_86,0,-0.15653886649587584,0.4149749325049619,train
task_87,0,-0.00922223558898666,0.07328625928271967,train
task_88,0,0.03805660568117469,0.28268543367319215,test
task_89,0,0.14717109105543838,-0.16861147230468143,train
task_90,0,-0.00016914853308458433,0.2569636256327428,train
task_91,0,0.17320334778799246,0.21691092730911538,train
task_92,0,0.16323013871684394,0.4941671216350439,train
task_93,0,0.5741869724401285,0.21605771092085624,train
task_94,0,0.36852959646330585,0.059461933712357834,train
task_95,0,0.19285204666999775,-0.1857809650734633,train
task_96,0,0.08392645756081255,0.40679578369475267,train
task_97,0,-0.17557640374242844,-0.014932223309354176,train
task_98,0,-0.1265813242090148,0.3987400898791972,test
task_99,0,0.2174540289111409,0.03685477755861846,test
task_100,0,0.3951448282506151,-0.07807818704060426,train
task_101,0,0.36444696915513064,-0.01995762593929626,train
task_102,0,0.04867076801543371,0.34776323884085547,train
task_103,0,0.14299414349358738,0.16348522223619535,train
task_104,0,0.23410067589591516,0.19602612915839776,train
task_105,0,0.002717333149353851,0.3171171021717843,train
task_106,0,0.29977224285306076,0.5249061027435076,train
task_107,0,0.2544016197585701,0.4249584524719922,train
task_108,0,0.3409854962282648,0.13155431320238398,train
task_109,0,0.3464261358706511,0.36504716380819335,train
task_110,0,0.3379589320543528,-0.09443157286314979,train
task_111,0,0.06354514476541365,0.5703608612213242,test
task_112,0,-0.06139575742071046,0.46030111996021356,test
task_113,0,0.2615405358840699,-0.09293609510075396,train
task_114,0,0.03740032671287152,-0.01580538502576259,test
task_115,0,0.04620445993946981,0.27005233912882554,train
task_116,0,0.2433087196088187,0.23114299209887026,test
task_117,0,0.15425693219802425,-0.024665892727242483,train
task_118,0,0.27347223418492084,0.01241250301088706,train
task_119,0,0.4753448941872332,-0.20250326843343858,train
task_120,0,0.1615247014471493,0.12302072221038086,test
task_121,0,0.04915930395241694,0.41647786192823855,train
task_122,0,0.21634936659912518,0.3292984018943935,test
task_123,0,0.21056630209689486,0.36522909236217427,test
task_124,0,0.46899199733722413,0.1848958448525047,train
task_125,0,0.31782524876873125,0.2892605060018825,test
task_126,0,0.1963182144904118,0.06574716130195976,train
task_127,0,0.10708305797407756,0.09315109527780728,train
task_128,0,0.39377944263679,0.3803332587577036,test
task_129,0,0.08908846505704515,0.2988084707549756,train
task_130,0,-0.010984628881505504,0.2886042977176503,train
task_131,0,-0.1486562117723813,0.01956755912898553,train
task_132,0,0.33701127728199964,0.2544975261191906,test
task_133,0,0.18906396793589725,0.4238882188213839,train
task_134,0,0.290514291383075,0.43550200864450417,train
task_135,0,0.08761699706054026,0.3261571549298625,train
task_136,0,0.03734551511529649,-0.0180494867769026,train
task_137,0,0.11108695091721763,0.14989643663519114,train
task_138,0,0.1507105523489502,0.054049512222961865,test
task_139,0,0.018326238031956293,0.09552491712888748,train
task_140,0,0.4187407455712083,0.18257184159039475,train
task_141,0,0.3706091781416808,0.048652227649907925,test
task_142,0,0.5930431229628527,0.12385241780377082,test
task_143,0,0.19211578203725177,0.29098948096919275,train
task_144,0,0.27108424755117033,0.13739883900111816,test
task_145,0,0.3385491244524025,0.29151455923313335,train
task_146,0,0.22548655760816005,0.17158718459726013,train
task_147,0,0.3484059649685277,0.2502299203383029,train
task_148,0,0.17507068384898367,0.11845651737452338,train
task_149,0,0.03784912180375702,0.22723716547218242,train
task_150,0,0.17335934725050084,0.21052415157934404,test
task_151,0,0.27393288234271695,0.237707070367563,train
task_152,0,0.2425457491856419,0.1698853314773774,train
task_153,0,-0.030871137749927446,0.24362392096696772,train
task_154,0,0.06027614475958798,0.3180600808293199,train
task_155,0,0.24866027535188595,0.18089237809878503,train
task_156,0,0.13127492484724415,0.13114527665996703,train
task_157,0,0.19465894899316627,0.03684227353755229,train
task_158,0,0.30408533101073676,0.46061137436375466,train
task_159,0,-0.004977115306518093,0.167551760141866,train
task_160,0,0.20668379454796915,0.3624712916505236,train
task_161,0,0.15256883743041633,0.010836996614352418,train
task_162,0,0.10629233348658158,0.3484617213426754,train
task_163,0,0.242359319538075,0.14387786783706677,test
task_164,0,-0.06451853778890548,0.392229024762762,test
task_165,0,0.32462133795307824,0.09683007985688183,train
task_166,0,0.12652372409836726,0.07932076592099474,train
task_167,0,0.21177237965178264,0.17991265157666703,train
task_168,0,0.17784933300338132,0.24110598903142116,train
task_169,0,0.10618941851631788,0.2814202298311386,train
task_170,0,0.2966414906977392,0.29507306278676904,test
