task,gt,f1,f2,split
task_0,0,0.11524844854352614,0.2966726153851237,test
task_1,0,0.20685425328028606,0.1862835681039596,train
task_2,0,0.07490740265676557,0.13407843919600554,train
task_3,0,0.04163633085818555,0.002812215630348197,test
task_4,0,0.2632457584411748,0.06964587630696174,test
task_5,0,0.15303246109720814,0.0452967932736995,train
task_6,0,0.3186915308048114,0.1469284542544115,train
task_7,0,0.23747215669109423,0.26840024165484533,train
task_8,0,-0.014191840184956783,0.2443938977126443,test
task_9,0,0.1577983658419703,0.06120807820656167,test
task_10,0,0.0890412472734376,0.36273492602023827,train
task_11,0,0.1637522745458385,0.07392697952413367,train
task_12,0,0.20893730955434067,0.1687814027136057,train
task_13,0,0.27941812754230927,0.1083570741339062,train
task_14,0,0.047334924185777755,-0.018415668960863704,test
task_15,0,0.07185161698226589,0.059898526557854735,train
task_16,0,0.14797849751606817,0.03519268894047793,train
task_17,0,0.07681305641640701,0.060037018412452264,train
task_18,0,0.09689669958486363,0.054353396821669536,test
task_19,0,0.23793659490551744,0.05375080132148519,train
task_20,0,0.024685489080644996,-0.11621876805693751,train
task_21,0,0.06086213789731598,0.08284539641285926,train
task_22,0,0.42880827576614516,-0.04860656401300856,test
task_23,0,0.011305513793823996,0.15105019476557444,train
task_24,0,0.07761547018685232,0.011985667982012754,train
task_25,0,0.19743117454280934,-0.02543053073529719,train
task_26,0,0.1143089194323072,0.06719022276724551,train
task_27,0,0.23114498749054097,0.06387373015252026,train
task_28,0,0.17835799993907048,0.2806545560388609,train
task_29,0,0.2819475692283046,0.14644304768571223,train
task_30,0,0.177426430283252,0.14072144834864378,train
task_31,0,0.30707227599695996,0.01829245599077517,train
task_32,0,0.19398658546841477,0.16298220620922316,train
task_33,0,0.1757628030166536,0.11218839021129452,test
task_34,0,0.15557945030055909,0.13602169124979407,train
task_35,0,0.2060670462022457,0.24776779899275125,train
task_36,0,0.254857194889752,0.11497942652584937,test
task_37,0,0.18701194799204374,0.17942038402252725,train
task_38,0,0.2737952147879251,0.23396157333454282,train
task_39,0,0.256263787744591,0.04920170060650539,train
task_40,0,0.22187569525017498,0.17745700746763823,train
task_41,0,0.18048225819165797,0.08129241104171707,test
task_42,0,0.10061650386431896,0.2064992743980526,test
task_43,0,0.09318460485934668,0.04922260262755235,train
task_44,0,0.2772673602695758,0.11338157909882765,train
task_45,0,0.31900881725038005,0.07002978596474488,test
task_46,0,0.015896894708415904,0.14489900189093102,train
task_47,0,0.40152620642672976,0.11060444677989031,train
task_48,0,0.1656409636510861,0.045849540764019286,test
task_49,0,0.12807636635296427,0.18757065212024543,test
task_50,0,0.17839913502463908,0.053198903410259686,train
task_51,0,0.021246377609614342,0.0060722945885445245,train
task_52,0,0.07391201019992744,0.04467949315877408,train
task_53,0,0.24560646002543748,0.012362289795318879,train
task_54,0,0.15714034371997398,0.08403312529122618,test
